scenario,instances,users,requests,failures,avg_response_ms,median_response_ms,min_response_ms,max_response_ms,p95_response_ms,p99_response_ms,rps,failures_s
heavy,1,25,6886,0,398.4114242375837,390.0,103.88391599997249,906.320654999945,580,720,59.23583899624802,0.0
heavy,1,75,7612,0,999.5760861053624,990.0,99.42375900004664,2332.989823000048,1600,1900,65.1039599450346,0.0
heavy,1,155,7662,0,1758.2910330438433,1800.0,98.90681299998504,4480.026981000037,3000,3400,65.8407836374888,0.0
heavy,2,25,6339,0,435.585433234108,420.0,97.1246969997992,1018.431081000017,710,860,54.76853634528111,0.0
heavy,2,75,6811,0,1111.63493739289,1100.0,98.254359999828,2890.17044000002,1900,2300,58.58187525496172,0.0
heavy,2,155,7024,61,1938.14565792754,2000.0,29.6190399999432,5062.210510000114,3400,4200,60.2091660851253,0.5228871200445108
heavy,3,25,6145,0,446.3335436580991,430.0,110.5821820001438,1123.3252739998534,710,860,52.75204707492006,0.0
heavy,3,75,6630,0,1144.9776293493203,1100.0,103.96239900001092,2959.69026199964,1900,2300,56.7629867619887,0.0
heavy,3,155,6715,66,2017.1214118710357,2100.0,18.19955199971446,4970.225891999689,3400,4000,58.13421669225709,0.5713861953371508
hybrid,1,25,7957,0,361.8831986596703,340.0,83.42622299983304,862.0661630000086,600,730,68.02096182152044,0.0
hybrid,1,75,8631,0,917.3794875028368,920.0,74.70136999995702,2237.779119000152,1500,1700,74.41180301803566,0.0
hybrid,1,155,8847,0,1602.5921857020394,1600.0,83.65920500000357,3934.8842750000586,2800,3300,76.18490412289738,0.0
hybrid,2,25,7362,0,388.70144906832223,370.0,81.16563300018242,887.674473000061,610,740,63.62014945609982,0.0
hybrid,2,75,7981,0,993.7707974842756,1000.0,91.36160300022313,2677.6609999997163,1500,1800,68.912932277967,0.0
hybrid,2,155,8307,191,1714.6608041971815,1800.0,17.474149000008765,4280.841440000131,3000,3500,71.70855391845312,1.6487701695467132
hybrid,3,25,7077,0,403.6528416854592,380.0,87.24372999949992,1343.67833899978,700,840,61.122879969806135,0.0
hybrid,3,75,7530,0,1053.5007005015982,1000.0,76.41712199983886,2514.8246099997777,1800,2100,64.80099200511214,0.0
hybrid,3,155,8014,224,1770.529583619784,1900.0,21.923318999142797,4624.125429999367,3100,3700,68.95995516435356,1.927505609784776
light,1,25,9184,0,312.2102121045291,290.0,89.14375199999824,1995.342905000001,550,670,77.83797052793106,0.0
light,1,75,10045,0,786.0186787771056,760.0,75.76427800000829,1832.6892369999823,1400,1600,86.2638235712706,0.0
light,1,155,10519,0,1360.9113539118737,1400.0,73.85170600002766,3627.1114479999937,2400,2900,89.68355603619274,0.0
light,2,25,9041,0,317.23842421103814,300.0,93.6373239999284,948.063994999984,570,690,77.74863747216766,0.0
light,2,75,9236,0,866.5061883449564,840.0,78.72089700003926,1915.2646930001536,1500,1700,79.12288910089538,0.0
light,2,155,9655,368,1475.2435863298851,1500.0,13.924869999982548,3890.6299669999953,2700,3200,83.23331032832287,3.172434821421317
light,3,25,8526,0,336.5132695398769,310.0,95.35408099964116,887.1203710000373,620,730,73.3816286207575,0.0
light,3,75,8716,0,905.0639097243009,870.0,79.30529899977046,2213.290820000111,1600,1800,75.74024278415018,0.0
light,3,155,9333,320,1522.9588474828026,1600.0,24.03122199984864,3685.356112999671,2800,3200,80.52774631206911,2.7610499110534787
medium,1,25,8594,0,334.05796905771416,320.0,77.58493000000044,899.5325099999718,570,680,73.5178397296366,0.0
medium,1,75,9142,0,865.0189178396382,850.0,80.0054399999226,2239.429216999952,1500,1700,78.72297067636862,0.0
medium,1,155,9481,0,1502.23217868527,1600.0,80.45274600010544,3481.7987920000637,2400,2800,81.49336968453328,0.0
medium,2,25,7933,0,361.8475646979696,350.0,85.91941800000313,806.1994180000056,560,690,68.20863390935864,0.0
medium,2,75,8805,0,906.912280334694,920.0,82.04487400007565,2066.9182310002725,1400,1700,75.50947370986941,0.0
medium,2,155,9019,488,1578.259962281406,1600.0,10.97966199995426,4232.181388000299,2900,3400,77.7486637577387,4.206824250335568
medium,3,25,7836,0,366.28750079772897,350.0,98.34456199996566,1094.6383759996934,570,710,67.46457401427732,0.0
medium,3,75,8497,0,938.2138800849716,940.0,84.19053799980247,2098.4739929999705,1500,1700,72.97097386574718,0.0
medium,3,155,8640,160,1652.7910357046303,1700.0,24.82604300030289,4185.432122999828,2800,3200,74.50324405778443,1.3796897047737855
