Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL/listar-musicas,41476,0,46,51.5683778258277,2.728298999954859,144.81057700004385,50908.0,346.7638193999845,0.0,46,64,68,70,76,84,94,100,120,130,140
POST,GraphQL/listar-musicas-playlist,41321,0,44,49.13753587001523,1.5012320000096224,140.55836700026703,327.0,345.46792799273703,0.0,44,60,65,67,73,81,92,98,120,130,140
POST,GraphQL/listar-playlists-musica,41199,0,43,49.15063910211463,1.65402799984804,143.49673400010943,538.0,344.4479360463874,0.0,43,60,65,67,73,81,93,98,120,130,140
POST,GraphQL/listar-playlists-usuario,41391,0,44,49.57781152274582,1.6445390001535998,143.9063569996506,739.0,346.0531692734295,0.0,44,61,66,68,74,82,93,100,120,130,140
POST,GraphQL/listar-usuarios,41584,0,45,51.84979278530097,1.7491720000180067,354.5952589997796,22017.0,347.66676309019573,0.0,45,62,67,69,76,86,99,120,300,350,350
,Aggregated,206971,0,44,50.26026022331108,1.5012320000096224,354.5952589997796,14945.476003884602,1730.3996158027342,0.0,44,62,66,68,74,83,94,100,190,320,350
