Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,REST/listar-musicas,47623,0,29,30.916770944628194,1.8697460000112187,85.61380299943266,50889.0,399.893234507663,0.0,29,33,35,38,47,50,55,60,72,80,86
GET,REST/listar-musicas-playlist,47494,0,29,30.795780728175938,1.7542509995109867,94.21374199973798,30493.0,398.81001364271356,0.0,29,33,35,37,47,49,54,60,73,85,94
GET,REST/listar-playlists,47590,0,29,30.873617784556817,1.8300289993931074,94.50685800038627,39163.0,399.6161314956992,0.0,29,33,35,38,47,49,55,60,71,81,95
GET,REST/listar-playlists-musica,47450,0,29,30.7119063716323,1.7521549998491537,86.21131099971535,29577.0,398.4405429600951,0.0,29,32,35,37,47,49,54,59,73,81,86
GET,REST/listar-playlists-usuario,47540,0,29,30.78680785919048,1.7959779997909209,85.89110899993102,29570.0,399.19627844726915,0.0,29,33,35,37,47,49,55,59,73,82,86
GET,REST/listar-usuarios,47665,0,29,30.83394264017649,1.6780569994807593,151.79283800080157,21998.0,400.24591106834424,0.0,29,33,35,37,47,49,55,62,110,150,150
,Aggregated,285362,0,29,30.819886116129886,1.6780569994807593,151.79283800080157,33617.68448146565,2396.2021121217845,0.0,29,33,35,37,47,49,55,60,76,110,150
