Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,gRPC/listar-musicas,53920,0,17,17.59035323352987,1.568654000038805,49.911155999325274,24374.0,453.59904073627445,0.0,17,18,19,19,21,23,30,34,43,48,50
gRPC,gRPC/listar-musicas-playlist,53895,0,17,17.278167652601837,1.8722700006037485,53.37336399952619,14583.0,453.38872960833663,0.0,17,18,19,19,20,23,29,34,43,50,53
gRPC,gRPC/listar-playlists,53912,0,17,17.55806743485719,1.8046109998977045,52.54842500016821,22473.0,453.53174117533433,0.0,17,18,19,19,21,23,30,34,43,49,53
gRPC,gRPC/listar-playlists-musica,53887,0,17,17.407205276577322,1.9981330005975906,52.51688800035481,16984.0,453.3214300473965,0.0,17,18,19,19,21,23,29,34,43,49,53
gRPC,gRPC/listar-playlists-usuario,53900,0,17,17.366152669980256,1.6761759998189518,54.5122720004656,16978.0,453.43079183392416,0.0,17,18,19,19,21,23,30,34,43,52,55
gRPC,gRPC/listar-usuarios,53928,0,17,17.215499327511953,1.3805809994664742,52.40473699996073,15097.0,453.66634029721456,0.0,17,18,19,19,20,23,29,34,43,49,52
,Aggregated,323442,0,17,17.402577188249097,1.3805809994664742,54.5122720004656,18415.181902783188,2720.938073698481,0.0,17,18,19,19,21,23,30,34,43,49,55
