Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL/listar-musicas,20987,0,44,45.65816251984416,4.92453500010015,138.49933900019096,50908.0,176.23576509750734,0.0,44,45,47,50,59,77,88,92,110,130,140
POST,GraphQL/listar-musicas-playlist,20965,0,43,45.26253703143723,4.174433000116551,139.42107200000464,30520.0,176.05102278883317,0.0,43,45,47,49,58,73,87,92,110,120,140
POST,GraphQL/listar-playlists,20983,0,44,45.67032715984282,5.803938000099151,139.9632479997308,39186.0,176.2021755868393,0.0,44,46,48,50,59,74,88,93,110,140,140
POST,GraphQL/listar-playlists-musica,20959,0,44,45.511402108737265,4.375191000690393,134.47044499935146,29604.0,176.0006385228311,0.0,44,45,47,49,58,75,88,92,110,130,130
POST,GraphQL/listar-playlists-usuario,20974,0,44,45.40187792943634,4.700438000327267,134.99638400026015,29597.0,176.12659918783623,0.0,44,45,47,49,58,74,88,93,110,130,130
POST,GraphQL/listar-usuarios,20994,0,43,45.431622726303544,4.632832999959646,522.4818079996112,22017.0,176.2945467411764,0.0,43,45,47,49,58,73,88,92,160,440,520
,Aggregated,125862,0,44,45.48935637816048,4.174433000116551,522.4818079996112,33639.70416805708,1056.9107479250235,0.0,44,45,47,49,58,74,88,93,110,230,520
