Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,leve,2530,0,1000.0,1006.7410126604854,76.41712199983886,2293.455367000206,303387.0,21.772444856963308,0.0,1000,1100,1200,1300,1500,1600,1800,1900,2100,2300,2300
GET,medio,2512,0,990.0,1009.0856837531798,83.10982799957856,2449.9606049994327,405903.0,21.61754208722997,0.0,990,1100,1200,1300,1500,1700,1800,2000,2300,2400,2400
GET,pesado,2488,0,1100.0,1145.8931974107732,106.94177999994281,2514.8246099997777,1077530.0,21.411005060918857,0.0,1100,1300,1400,1500,1700,1900,2100,2200,2400,2500,2500
,Aggregated,7530,0,1000.0,1053.5007005015982,76.41712199983886,2514.8246099997777,593372.1229747676,64.80099200511214,0.0,1000,1200,1300,1300,1600,1800,1900,2100,2300,2500,2500
