Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,leve,2723,81,1700.0,1598.1846599985247,35.14025300046342,3791.303201000119,294440.9768637532,23.431240068946185,0.6969997963953878,1700,2000,2100,2200,2500,2700,2900,3000,3600,3800,3800
GET,medio,2669,67,1800.0,1712.0511083641804,43.61051199975918,4402.59956600039,395780.025477707,22.966573538015925,0.5765306957838393,1800,2100,2300,2400,2700,3000,3300,3400,4100,4400,4400
GET,pesado,2622,76,2100.0,2009.03998692945,21.923318999142793,4624.125429999367,1046373.9420289855,22.562141557391442,0.653975117605549,2100,2500,2700,2800,3200,3500,3900,4100,4500,4600,4600
,Aggregated,8014,224,1900.0,1770.529583619784,21.923318999142793,4624.125429999367,574206.656351385,68.95995516435356,1.927505609784776,1900,2100,2400,2500,2800,3100,3500,3700,4400,4600,4600
