Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/https://br.ign.com,8101,0,140,137.7231824219241,3.5436000007393886,725.4023999994388,54126.0,68.12847968792308,0.0,140,160,160,170,200,250,340,370,580,730,730
GET,/api/https://canaltech.com.br,8047,0,140,141.017177420156,2.9262999996717554,1122.6980999999796,24756.0,67.674345889238,0.0,140,160,170,180,220,250,350,380,710,1100,1100
GET,/api/https://cnn.com,8109,0,140,134.91911328154205,3.210899999430694,1082.2016000001895,57355.0,68.19575876920976,0.0,140,150,160,160,200,250,340,380,680,1100,1100
GET,/api/https://kotaku.com,8033,0,140,139.6501998506072,2.9421999997794046,749.1156999994928,20707.0,67.55660749698632,0.0,140,160,170,170,210,250,330,370,620,750,750
GET,/api/https://receitas.globo.com,8073,0,140,138.67244943639054,2.53439999960392,948.1226999996579,26396.0,67.8930029034197,0.0,140,160,170,170,210,250,340,380,600,950,950
GET,/api/https://www.estadao.com.br,8091,0,140,139.37107233963445,3.104699999312288,875.9107000005315,55973.0,68.04438083631473,0.0,140,160,170,170,200,250,350,390,670,880,880
GET,/api/https://www.foxnews.com,8120,0,130,129.76371993842264,3.0569000000468805,19910.35180000017,122053.0,68.28826750597894,0.0,130,140,150,150,170,240,330,370,630,20000,20000
GET,/api/https://www.todamateria.com.br,8054,0,140,139.59127933945692,2.641099999891594,968.235100000129,23637.0,67.73321508536384,0.0,140,160,170,170,210,250,350,380,660,970,970
GET,/api/https://www.tudogostoso.com.br,8061,0,140,140.4998707480467,2.617199999804143,892.2296999999162,32185.0,67.7920842814897,0.0,140,160,170,170,210,250,350,380,610,890,890
GET,/api/https://www12.senado.leg.br,8085,0,140,139.62250554112427,3.0383000002984772,1013.6078999994425,29268.0,67.99392152534972,0.0,140,160,170,170,210,250,350,370,660,1000,1000
,Aggregated,80774,0,140,138.0747627726723,2.53439999960392,19910.35180000017,44724.88124891673,679.3000639812738,0.0,140,150,160,170,210,250,340,370,630,940,20000
