Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/https://br.ign.com,241,0,21000,20699.037867634866,8589.711999999963,31860.450500000297,48227.0,2.0116276384315777,0.0,21000,23000,24000,25000,27000,28000,31000,31000,32000,32000,32000
GET,/api/https://cnn.com,250,0,47000,45729.306646000005,11626.982700000553,76131.38799999979,47704.0,2.0867506622734204,0.0,47000,49000,50000,51000,57000,60000,66000,67000,76000,76000,76000
GET,/api/https://receitas.globo.com,10,0,21000,21609.63791000004,14564.156999999796,31526.78560000004,22750.0,0.08347002649093682,0.0,23000,24000,24000,24000,32000,32000,32000,32000,32000,32000,32000
GET,/api/https://www.estadao.com.br,145,0,25000,24547.513051724112,13087.128399999528,34633.87600000078,54962.0,1.210315384118584,0.0,25000,27000,28000,29000,30000,31000,31000,32000,35000,35000,35000
GET,/api/https://www.foxnews.com,250,0,13000,15324.695821600006,394.72750000004453,38259.76019999962,105479.0,2.0867506622734204,0.0,14000,19000,24000,27000,32000,34000,36000,36000,38000,38000,38000
GET,/api/https://www.tudogostoso.com.br,1,0,13328.923899999609,13328.923899999609,13328.923899999609,13328.923899999609,29426.0,0.008347002649093683,0.0,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000
GET,/api/https://www12.senado.leg.br,77,0,18000,17344.55910129876,10620.722499999829,23642.201999999997,25568.0,0.6427192039802135,0.0,18000,20000,21000,21000,23000,23000,23000,24000,24000,24000,24000
,Aggregated,974,0,23000,26053.71097464067,394.72750000004453,76131.38799999979,61718.28439425051,8.129980580217246,0.0,23000,28000,33000,41000,49000,51000,59000,61000,76000,76000,76000
