Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/https://br.ign.com,436,34,24000,20023.878207339472,1.043299999764713,30051.540300000852,43206.70183486238,3.6399767785635073,0.2838514001632093,24000,26000,26000,27000,29000,30000,30000,30000,30000,30000,30000
GET,/api/https://canaltech.com.br,21,0,25000,24990.726314285545,23279.693399998905,28462.539500000275,21940.0,0.17531998245374691,0.0,25000,25000,26000,26000,26000,27000,28000,28000,28000,28000,28000
GET,/api/https://cnn.com,500,90,21000,18917.23643060002,1.0881999996854574,30039.617600000383,44326.74,4.174285296517784,0.751371353373201,21000,26000,28000,29000,30000,30000,30000,30000,30000,30000,30000
GET,/api/https://receitas.globo.com,125,3,25000,22708.66148639998,1.771799999914947,33854.90250000021,21721.856,1.043571324129446,0.0250457117791067,25000,26000,27000,28000,30000,31000,32000,32000,34000,34000,34000
GET,/api/https://www.estadao.com.br,300,26,24000,20407.547763000017,2.888199999688368,49648.92039999995,45742.473333333335,2.50457117791067,0.21706283541892477,24000,25000,26000,27000,29000,30000,30000,30000,50000,50000,50000
GET,/api/https://www.foxnews.com,500,18,12000,13909.995556399997,1443.5167000001456,30993.0131000001,101705.856,4.174285296517784,0.15027427067464022,13000,16000,20000,23000,29000,30000,30000,30000,31000,31000,31000
GET,/api/https://www.todamateria.com.br,42,0,27000,27594.6921761905,24631.952899999305,32684.015000000727,29860.0,0.35063996490749383,0.0,27000,28000,29000,30000,31000,31000,33000,33000,33000,33000,33000
GET,/api/https://www.tudogostoso.com.br,85,1,25000,24771.37306823535,4.107400000066264,31432.32470000021,28140.988235294117,0.7096285004080233,0.008348570593035568,25000,26000,27000,29000,30000,31000,31000,31000,31000,31000,31000
GET,/api/https://www12.senado.leg.br,186,17,25000,21883.73475537633,7.9585000003135065,32147.623199999543,22463.370967741936,1.5528341303046156,0.14192570008160466,25000,27000,28000,28000,30000,30000,31000,31000,32000,32000,32000
,Aggregated,2195,189,23000,19118.267702004563,1.043299999764713,49648.92039999995,53110.444191343966,18.32511245171307,1.5778798420837223,23000,25000,26000,27000,30000,30000,30000,31000,33000,50000,50000
