Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/https://br.ign.com,4540,0,89,204.87669174008337,15.848600000026636,1671.9786000003296,55121.0,38.12710346254182,0.0,89,96,100,220,640,800,970,1100,1400,1700,1700
GET,/api/https://canaltech.com.br,4524,0,90,197.87449082670392,14.603100000385894,1834.6080000001166,25341.0,37.99273481597779,0.0,90,96,100,120,630,800,980,1200,1400,1800,1800
GET,/api/https://cnn.com,4547,0,91,227.6992944138998,16.339000000698434,1779.380800000581,56560.0,38.185889745413576,0.0,91,100,200,490,660,790,990,1100,1400,1800,1800
GET,/api/https://kotaku.com,4514,0,89,189.25597831191672,13.066100000287406,1751.0271999999532,21029.0,37.90875441187528,0.0,89,95,100,110,610,770,960,1100,1600,1800,1800
GET,/api/https://receitas.globo.com,4532,0,89,188.55663029568072,14.817799999946146,1791.5270999992572,26980.0,38.059919139259804,0.0,89,95,100,110,590,750,960,1100,1500,1800,1800
GET,/api/https://www.estadao.com.br,4539,0,89,193.42372167879049,14.384600000084902,1712.7507999994123,61231.0,38.11870542213156,0.0,89,95,100,120,630,750,960,1100,1500,1700,1700
GET,/api/https://www.foxnews.com,4556,0,680,700.883727611947,13.003300000491436,1823.6782000003586,121859.0,38.26147210910584,0.0,680,810,910,990,1200,1300,1400,1500,1700,1800,1800
GET,/api/https://www.todamateria.com.br,4526,0,88,194.325524591244,14.903000000231259,1782.6588999996602,24783.0,38.009530896798296,0.0,88,95,100,110,620,780,1000,1200,1500,1800,1800
GET,/api/https://www.tudogostoso.com.br,4529,0,89,193.8326113270058,14.960599999540136,1648.6543000000893,33170.0,38.03472501802905,0.0,89,96,100,120,620,780,1000,1200,1400,1600,1600
GET,/api/https://www12.senado.leg.br,4536,0,89,196.88081935625436,15.366399999948044,1652.7047999998103,30068.0,38.09351130090081,0.0,89,95,100,120,620,790,990,1100,1500,1700,1700
,Aggregated,45343,0,91,249.01586477736265,13.003300000491436,1834.6080000001166,45677.810444831615,380.79234632203384,0.0,91,100,250,540,730,910,1200,1300,1600,1800,1800
