Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/https://br.ign.com,290,0,4000,3827.4733006896795,299.3393999995533,6308.97399999958,46861.0,2.441132444087456,0.0,4000,4400,4600,4700,5200,5400,5800,6100,6300,6300,6300
GET,/api/https://canaltech.com.br,213,0,4100,4280.370586854458,2951.5293999993446,8306.295300000784,21940.0,1.7929696916918212,0.0,4100,4500,4800,5100,5600,6000,6900,7500,8300,8300,8300
GET,/api/https://cnn.com,295,0,4500,5281.684146101661,600.3591999997298,20503.11210000018,54078.477966101695,2.483220934502757,0.0,4500,5000,5500,5900,11000,12000,13000,19000,21000,21000,21000
GET,/api/https://kotaku.com,207,0,4600,4690.514666666666,3230.953999999656,8239.213400000153,22246.7922705314,1.74246350319346,0.0,4600,5000,5200,5300,6100,6700,7300,7500,8200,8200,8200
GET,/api/https://receitas.globo.com,240,0,4200,4368.742064999955,1702.54180000029,12856.661099999656,22256.0,2.0202475399344464,0.0,4200,4600,4700,4900,5600,6300,6900,7100,13000,13000,13000
GET,/api/https://www.estadao.com.br,272,0,4100,4031.032203676503,478.5143999997672,9851.277499999924,50214.0,2.2896138785923728,0.0,4100,4500,4700,4900,5300,5700,5900,9100,9900,9900,9900
GET,/api/https://www.foxnews.com,298,0,3500,3678.2951382550236,371.90149999969435,12922.868999999992,105485.14765100672,2.508474028751938,0.0,3500,4100,4400,4500,5100,5800,11000,12000,13000,13000,13000
GET,/api/https://www.todamateria.com.br,217,0,4900,5019.095358525333,3735.6000999998287,9132.161900000028,29860.0,1.826640484024062,0.0,4900,5100,5300,5500,6200,6700,7600,7700,9100,9100,9100
GET,/api/https://www.tudogostoso.com.br,227,0,4000,4054.7467933920598,2552.1748000001026,6432.130399999551,28476.0,1.9108174648546639,0.0,4000,4300,4600,4600,5300,5600,5900,6300,6400,6400,6400
GET,/api/https://www12.senado.leg.br,258,0,5100,5255.84853294572,1711.6733999991993,11254.979599999388,24723.0,2.17176610542953,0.0,5100,5500,6000,6200,6900,7500,8100,8800,11000,11000,11000
,Aggregated,2517,0,4300,4432.805122725457,299.3393999995533,20503.11210000018,43137.6936829559,21.187346075062507,0.0,4300,4700,5000,5200,5900,6700,10000,12000,19000,21000,21000
