Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
gRPC,gRPC/listar-musicas,18058,0,45,45.41363761025667,4.076385000189475,87.58088199920167,24374.0,150.778964864167,0.0,45,46,47,47,49,52,56,60,69,86,88
gRPC,gRPC/listar-musicas-playlist,18035,0,45,45.660184421568545,7.739625999420241,86.10768800008373,14583.0,150.58692165938928,0.0,45,47,49,49,51,53,57,60,71,85,86
gRPC,gRPC/listar-playlists,18049,0,58,58.07150177250696,8.631744000012986,96.69334599948343,22473.0,150.703817523167,0.0,58,59,60,61,63,66,71,76,87,95,97
gRPC,gRPC/listar-playlists-musica,18028,0,46,45.47655400382956,5.066016999990097,86.18392899916216,16984.0,150.5284737275004,0.0,46,47,48,49,51,53,57,60,70,86,86
gRPC,gRPC/listar-playlists-usuario,18042,0,45,43.96254232424243,8.797032999609655,87.97340499950224,16978.0,150.64536959127815,0.0,45,46,47,47,49,51,55,59,68,86,88
gRPC,gRPC/listar-usuarios,18065,0,88,86.91618278561069,5.855745999724604,149.95656900009635,15097.0,150.83741279605584,0.0,88,89,90,91,95,98,110,110,120,150,150
,Aggregated,108277,0,47,54.25767037984111,4.076385000189475,149.95656900009635,18415.70423081541,904.0809601615576,0.0,47,55,58,61,86,90,94,97,120,130,150
