Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,GraphQL/listar-musicas,3017,0,500.0,876.9666386668906,13.017119000323873,11625.030632000744,50908.0,25.309614218514685,0.0,500,840,1100,1400,2200,3000,4200,4900,9300,12000,12000
POST,GraphQL/listar-musicas-playlist,2915,0,320.0,725.4750222439122,5.714732000342337,10446.354724999765,30520.0,24.45393617731863,0.0,320,610,880,1100,1900,2900,4100,5000,7600,10000,10000
POST,GraphQL/listar-playlists,2977,0,470.0,893.4866659925951,8.74739199934993,13441.394319999745,39186.0,24.97405420235937,0.0,470,810,1100,1400,2200,3200,4400,5400,9800,13000,13000
POST,GraphQL/listar-playlists-musica,2880,0,430.0,893.351293228477,10.851846000150545,10254.3453950002,29604.0,24.16032116318273,0.0,430,780,1100,1400,2400,3200,4500,5700,8700,10000,10000
POST,GraphQL/listar-playlists-usuario,2946,0,450.0,875.662513275295,11.340128999108856,11257.880827000008,29597.0,24.713995189839,0.0,450,760,1100,1400,2200,3200,4300,5400,8700,11000,11000
POST,GraphQL/listar-usuarios,3045,0,270.0,2398.1241129678115,4.217654000058246,100491.0184749997,22017.0,25.544506229823405,0.0,270,590,910,1200,2200,4600,43000,67000,98000,100000,100000
,Aggregated,17780,0,410.0,1117.846977275198,4.217654000058246,100491.0184749997,33673.00365579303,149.15642718103783,0.0,410,730,1100,1300,2200,3200,4700,6800,73000,99000,100000
