Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP/listar-musicas,1541,0,860.0,1356.734258018173,20.482199000070977,13977.551709999716,71703.0,12.94160749732184,0.0,860,1300,1800,2200,3200,4200,5800,7500,11000,14000,14000
POST,SOAP/listar-musicas-playlist,1470,0,600.0,1068.5042875761887,12.94006599982822,9824.57510400036,43123.0,12.345336159028621,0.0,600,1000,1400,1700,2800,3500,5000,5800,8700,9800,9800
POST,SOAP/listar-playlists,1503,0,1300.0,1804.9591928323182,27.682418000040343,15941.800767000132,73185.0,12.622476358517018,0.0,1300,1900,2400,2800,4000,5300,6600,8000,12000,16000,16000
POST,SOAP/listar-playlists-musica,1443,0,920.0,1439.3916319313905,21.764664000329503,12752.992648000145,55937.0,12.118585086719932,0.0,920,1400,1900,2200,3200,4700,5900,7600,12000,13000,13000
POST,SOAP/listar-playlists-usuario,1483,0,900.0,1413.1346031227317,15.250303000357235,12129.290004999348,55920.0,12.454512601251324,0.0,900,1500,1900,2300,3400,4200,5400,6700,9800,12000,12000
POST,SOAP/listar-usuarios,1572,0,390.0,3717.4351135152797,6.097653000324499,104363.44210399967,28012.0,13.201951321083667,0.0,390,820,1200,1600,3700,20000,66000,86000,98000,104000,104000
,Aggregated,9012,0,810.0,1818.7762096009708,6.097653000324499,104363.44210399967,54545.43974700399,75.6844690239224,0.0,810,1300,1800,2200,3400,4700,7200,13000,93000,104000,104000
