Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,SOAP/listar-musicas,6423,0,250.0,270.01370780429676,12.122670000053404,1274.8671340000328,71703.0,53.83970636663436,0.0,250,300,340,370,450,540,640,730,970,1300,1300
POST,SOAP/listar-musicas-playlist,6413,0,140.0,166.68856266240468,41.09813800005213,859.9656920000598,753.0,53.755883065425216,0.0,140,180,220,240,310,350,440,490,700,860,860
POST,SOAP/listar-playlists-musica,6411,0,130.0,153.10094387677248,42.77574899992942,1022.8558399999201,1263.0,53.73911840518338,0.0,130,160,190,210,280,330,410,490,740,1000,1000
POST,SOAP/listar-playlists-usuario,6418,0,140.0,154.19873799875313,1.2198940000871517,816.2841140001547,1608.0,53.797794716029784,0.0,140,190,220,240,290,340,410,450,660,820,820
POST,SOAP/listar-usuarios,6440,0,140.0,165.5605575290378,5.051567999998952,2859.197621000021,28012.0,53.982205978689905,0.0,140,190,220,240,290,360,470,570,1600,2900,2900
,Aggregated,32105,0,150.0,181.92367044815532,1.2198940000871517,2859.197621000021,20688.113222239528,269.11470853196266,0.0,150,210,240,270,330,410,510,590,900,2300,2900
