scenario,language,cache,users,url,extracted_links
ruby_nocache,ruby,sem_cache,250,https://kotaku.com,135
ruby_nocache,ruby,sem_cache,250,https://receitas.globo.com,232
ruby_nocache,ruby,sem_cache,250,https://www.estadao.com.br,314
ruby_nocache,ruby,sem_cache,250,https://www.foxnews.com,911
ruby_nocache,ruby,sem_cache,250,https://www.todamateria.com.br,182
ruby_nocache,ruby,sem_cache,250,https://www.tudogostoso.com.br,206
ruby_nocache,ruby,sem_cache,250,https://www12.senado.leg.br,250
ruby_nocache,ruby,sem_cache,500,https://br.ign.com,381
ruby_nocache,ruby,sem_cache,500,https://canaltech.com.br,155
ruby_nocache,ruby,sem_cache,500,https://cnn.com,491
ruby_nocache,ruby,sem_cache,500,https://receitas.globo.com,232
ruby_nocache,ruby,sem_cache,500,https://www.estadao.com.br,314
ruby_nocache,ruby,sem_cache,500,https://www.foxnews.com,911
ruby_nocache,ruby,sem_cache,500,https://www.todamateria.com.br,182
ruby_nocache,ruby,sem_cache,500,https://www.tudogostoso.com.br,206
ruby_nocache,ruby,sem_cache,500,https://www12.senado.leg.br,250
